gameId,team_win,team1_champ1,team1_champ2,team1_champ3,team1_champ4,team1_champ5,team2_champ1,team2_champ2,team2_champ3,team2_champ4,team2_champ5
2725912579,2,13,236,421,223,3,114,51,117,113,69
2726625288,2,24,110,412,113,13,12,164,429,120,3
2727239691,1,63,110,101,59,150,23,105,421,51,25
2725314578,2,80,143,110,154,61,81,63,13,516,28
2725920787,2,98,18,117,69,107,121,14,40,245,119
2725634074,2,421,114,13,18,63,19,44,110,69,164
2728591387,2,12,107,112,429,50,61,72,266,18,412
2728091675,1,82,117,110,27,72,26,18,37,23,113
2727059492,1,31,112,4,117,119,63,50,81,114,104
2727100458,2,45,75,267,24,202,43,30,164,81,154
2727485491,1,245,267,24,51,136,9,498,13,432,92
2727452728,1,50,421,498,40,78,222,240,245,201,131
2726289473,1,64,12,61,498,14,13,72,18,40,164
2727321665,2,161,64,81,268,39,50,18,12,92,19
2726690887,2,105,64,119,267,98,117,92,106,3,18
2725683295,2,39,121,81,99,142,222,12,141,92,50
2728312933,2,53,110,13,164,14,12,119,141,85,69
2728157287,1,58,18,236,14,59,121,164,18,267,163
2727690350,2,240,254,115,40,96,27,163,29,223,421
2725806198,2,223,13,119,107,6,236,92,34,14,141
2727190648,1,163,18,121,164,201,101,26,27,51,9
2725339256,1,122,142,107,236,99,69,40,56,107,51
2728157315,2,201,164,103,81,154,54,245,222,25,412
2727919756,1,53,141,41,81,7,117,110,150,61,154
2727272588,2,222,3,421,4,75,201,51,9,1,114
2728181902,1,80,17,202,429,20,222,75,30,26,89
2725462161,1,121,14,161,18,105,38,76,236,96,117
2727018642,2,64,238,110,43,114,201,51,164,245,91
2726977688,1,75,412,96,24,142,106,101,14,119,432
2728747162,2,117,119,34,141,57,164,64,81,267,103
2727133351,2,3,163,102,12,51,267,112,64,18,516
2727174324,1,19,92,51,117,268,64,81,61,25,164
2726256821,1,12,105,113,14,429,11,4,81,45,223
2725396686,2,24,498,101,98,254,57,136,236,18,40
2725789903,2,25,51,121,516,45,14,18,245,107,44
2727510224,1,40,245,421,222,27,69,41,15,164,14
2728689887,2,164,113,112,18,201,64,69,14,40,81
2725691615,2,83,26,113,498,134,142,23,107,81,44
2726863082,2,14,268,63,59,81,117,32,18,27,34
2725437680,1,55,122,107,236,497,4,72,498,98,164
2727592178,2,20,498,9,201,92,119,40,161,121,84
2728796406,2,2,39,40,18,38,42,412,141,78,81
2725929206,1,117,51,59,27,136,81,25,92,13,24
2726478072,1,40,107,110,18,106,104,64,222,117,4
2727190782,1,37,64,498,30,420,23,119,42,432,31
2728870145,1,498,92,136,497,24,10,201,113,119,161
2726158594,2,23,81,223,24,4,110,78,163,40,121
2728509700,2,40,103,107,429,54,110,20,16,126,23
2725495045,2,164,432,498,24,105,18,8,142,107,40
2727010568,1,40,107,13,67,136,110,83,113,14,112
2727010587,2,24,81,412,240,8,238,498,68,19,497
2728100126,1,254,432,240,112,110,34,222,121,40,2
2726592799,1,254,16,110,84,268,40,14,106,101,18
2728239402,1,223,421,42,114,222,113,119,164,61,53
2726969651,2,267,113,27,18,13,17,112,24,110,44
2726068532,1,24,498,40,112,114,61,18,44,14,28
2725232958,1,497,25,59,498,6,412,92,81,55,76
2726773072,1,8,41,26,121,81,245,24,432,61,222
2726846808,1,63,53,498,27,19,51,267,164,13,92
2728411490,2,133,72,150,131,201,18,92,112,98,141
2725667174,1,81,45,121,12,68,90,143,498,92,107
2726732137,2,112,57,117,110,59,268,40,75,18,427
2726855019,2,4,117,17,77,18,106,25,154,105,222
2728730994,2,142,141,25,236,39,110,412,50,19,201
2725806461,2,421,67,26,38,164,92,3,89,202,106
2725970309,2,8,121,98,498,24,105,40,35,18,14
2728305030,2,516,38,110,40,2,34,1,498,154,114
2727633289,1,107,14,12,42,119,412,15,114,64,163
2726060427,2,17,202,117,55,164,122,67,268,99,72
2728657297,2,121,412,11,51,43,202,9,5,41,117
2725020050,2,61,18,40,28,67,150,42,33,143,22
2727199138,1,421,23,429,412,13,432,3,8,81,59
2725216674,1,14,201,202,24,105,51,114,72,48,50
2725093799,2,14,141,110,89,69,28,238,68,44,18
2725667243,1,19,54,267,69,498,64,7,497,498,50
2726953387,1,236,266,76,122,268,24,157,40,121,67
2728632750,2,18,421,142,75,267,222,64,92,7,89
2725700023,2,81,101,223,122,11,51,412,50,72,23
2725847501,1,201,113,164,85,18,154,54,498,136,12
2725413332,2,498,8,497,106,17,107,40,126,142,18
